YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,0.4,2.0,2.5,7.1,10.3,15.0,16.0,17.3,14.1,5.2,3.7,2.0,1.7,6.6,16.1,7.7,8.02
1881,-4.5,-3.0,-1.2,3.7,10.1,13.3,15.0,13.6,11.8,5.1,5.4,2.2,-1.8,4.2,14.0,7.4,5.94
1882,3.0,3.2,4.6,6.3,10.8,14.1,16.0,15.3,13.4,8.5,1.8,-1.3,2.8,7.2,15.1,7.9,8.27
1883,0.6,2.0,-1.3,5.4,10.4,13.6,16.4,14.8,12.3,8.2,4.5,2.1,0.4,4.8,14.9,8.3,7.13
1884,3.0,2.6,3.5,5.0,9.5,13.0,16.2,15.6,13.8,8.8,0.9,1.6,2.6,6.0,14.9,7.8,7.83
1885,-2.1,1.9,2.0,6.4,8.4,13.0,15.1,13.4,11.1,5.9,2.0,2.2,0.5,5.6,13.8,6.3,6.56
1886,-0.2,-2.8,-2.0,5.3,9.6,12.6,14.2,14.8,12.1,8.8,5.7,-1.0,-0.3,4.3,13.9,8.9,6.69
1887,-1.7,-0.2,0.4,4.7,9.1,13.6,15.5,14.3,11.5,6.8,3.4,0.3,-1.0,4.7,14.5,7.2,6.37
1888,-0.2,-2.1,-2.9,2.8,8.9,13.6,13.4,13.3,11.3,6.6,3.6,2.9,-0.7,2.9,13.4,7.2,5.72
1889,0.7,-2.1,0.0,5.3,14.7,16.8,14.5,14.2,10.3,7.8,4.9,0.1,0.5,6.7,15.2,7.7,7.50
1890,2.7,-0.3,3.1,5.0,11.9,12.4,13.6,14.0,13.2,8.1,3.9,-3.0,0.8,6.7,13.3,8.4,7.31
1891,3.6,0.7,0.4,4.3,9.6,14.4,15.4,14.1,13.0,9.8,2.5,2.7,0.4,4.8,14.6,8.4,7.07
1892,-0.9,-0.3,0.2,5.1,10.3,12.1,14.1,15.0,12.4,7.2,3.9,-0.8,0.5,5.2,13.7,7.8,6.82
1893,-5.2,-1.3,2.8,5.9,10.4,13.5,16.2,16.0,11.6,9.2,2.8,3.4,-2.4,6.4,15.2,7.9,6.76
1894,0.3,1.9,4.4,8.0,10.1,13.6,16.8,14.6,10.2,5.8,6.4,3.0,1.9,7.5,15.0,7.5,7.96
1895,-3.4,-7.6,1.2,6.9,11.7,14.2,14.8,15.5,13.5,7.0,3.9,0.6,-2.7,6.6,14.8,8.1,6.72
1896,1.6,1.5,3.4,5.6,10.8,16.3,16.7,14.6,12.2,7.9,3.2,-0.4,1.2,6.6,15.9,7.8,7.87
1897,-2.6,-1.2,3.0,5.6,11.3,16.1,15.9,17.0,11.7,7.4,4.8,2.5,-1.4,6.6,16.3,8.0,7.38
1898,4.6,1.5,1.5,5.7,9.5,13.8,13.5,15.9,12.8,7.7,4.9,5.3,2.9,5.6,14.4,8.5,7.82
1899,2.5,2.3,2.3,5.9,10.4,14.2,17.2,14.6,11.9,7.9,7.6,-1.0,3.4,6.2,15.3,9.1,8.51
1900,-0.6,-1.5,0.3,4.7,9.7,15.3,16.6,15.6,12.7,8.0,4.4,4.2,-1.0,4.9,15.8,8.4,7.02
1901,-1.7,-2.3,1.6,6.5,11.7,13.9,18.2,16.3,12.9,9.6,3.2,0.9,0.1,6.6,16.1,8.6,7.84
1902,3.3,-2.9,2.2,5.4,8.0,14.3,13.5,12.4,10.3,7.4,2.4,-0.2,0.4,5.2,13.4,6.7,6.43
1903,0.2,3.4,4.7,4.7,11.7,14.0,15.3,14.0,12.2,8.4,4.0,0.2,1.1,7.0,14.4,8.2,7.70
1904,1.0,-0.1,1.5,6.9,10.2,13.2,15.9,15.2,11.9,8.2,4.5,3.4,0.4,6.2,14.8,8.2,7.38
1905,0.5,1.8,3.2,4.0,11.3,16.5,16.9,15.2,12.0,5.2,3.2,2.3,1.9,6.2,16.2,6.8,7.77
1906,1.1,0.6,1.7,5.8,11.7,13.9,15.5,15.4,12.7,9.3,7.3,-1.4,1.3,6.4,14.9,9.8,8.11
1907,0.7,-1.1,2.3,5.3,10.2,12.4,13.8,13.3,11.3,10.9,3.6,1.6,-0.6,5.9,13.2,8.6,6.78
1908,0.8,2.4,1.3,4.3,10.4,14.6,16.2,14.3,12.4,8.7,3.0,1.8,1.6,5.3,15.0,8.0,7.50
1909,0.5,-1.3,-0.5,4.4,8.4,12.5,14.0,14.1,11.8,10.2,2.2,1.2,0.3,4.1,13.5,8.1,6.51
1910,1.4,2.1,3.6,6.2,12.2,16.3,16.0,15.6,12.8,8.9,2.0,2.9,1.6,7.3,16.0,7.9,8.19
1911,1.8,2.0,2.4,5.8,12.8,14.1,16.3,17.4,13.2,7.1,5.0,3.1,2.2,7.0,15.9,8.4,8.40
1912,-3.3,-1.2,4.3,6.0,9.1,13.9,17.8,14.2,9.7,7.2,4.2,5.0,-0.5,6.5,15.3,7.0,7.08
1913,0.0,2.3,4.1,7.2,10.6,13.6,15.1,14.6,12.4,8.5,7.2,3.6,2.4,7.3,14.4,9.4,8.38
1914,0.1,4.2,3.6,8.1,10.2,14.2,18.2,17.0,12.7,8.5,4.3,3.7,2.6,7.3,16.5,8.5,8.72
1915,0.2,1.1,1.3,6.3,9.8,13.2,14.5,15.0,11.4,6.5,2.4,0.4,1.7,5.8,14.2,6.8,7.12
1916,3.5,0.8,1.0,7.2,10.8,12.1,15.5,14.7,11.1,7.9,5.9,2.0,1.6,6.3,14.1,8.3,7.58
1917,-2.3,-1.3,-0.6,3.7,11.2,17.1,15.9,16.8,13.6,7.3,5.9,0.7,-0.5,4.8,16.6,8.9,7.44
1918,0.4,1.1,2.4,7.4,12.5,12.1,15.0,15.5,11.7,9.2,3.6,3.4,0.7,7.4,14.2,8.2,7.63
1919,1.3,-1.2,1.3,5.8,11.4,12.9,14.0,13.6,13.2,6.1,0.7,-0.1,1.2,6.2,13.5,6.7,6.88
1920,1.4,4.1,5.5,7.4,11.5,14.5,15.9,14.2,12.3,6.1,3.8,1.4,1.8,8.1,14.9,7.4,8.05
1921,3.7,2.3,5.5,8.5,12.2,12.5,15.1,15.2,12.5,10.0,1.0,2.7,2.5,8.7,14.3,7.8,8.32
1922,-1.5,-1.1,1.8,3.9,10.3,13.0,14.2,14.0,10.7,4.6,3.8,3.7,0.0,5.3,13.7,6.4,6.37
1923,3.1,-0.5,2.9,4.5,8.3,10.2,16.6,13.6,12.0,9.3,2.3,-1.8,2.1,5.2,13.5,7.9,7.17
1924,-1.3,-1.6,-1.2,3.9,9.8,13.1,14.5,14.3,12.9,8.6,4.9,4.1,-1.6,4.2,14.0,8.8,6.34
1925,3.7,3.1,1.4,6.6,12.1,13.3,17.7,15.7,11.0,7.6,1.4,1.1,3.6,6.7,15.6,6.7,8.14
1926,0.5,1.5,3.2,7.2,9.7,13.9,17.0,15.5,12.5,5.7,5.1,2.0,1.0,6.7,15.5,7.8,7.74
1927,3.0,1.0,4.8,5.3,8.5,11.2,16.5,16.2,12.3,9.2,1.8,-3.6,2.0,6.2,14.6,7.8,7.65
1928,1.4,2.2,1.0,5.8,9.6,11.6,14.1,14.4,11.2,8.5,6.3,1.0,0.0,5.5,13.4,8.7,6.88
1929,-3.0,-7.0,1.7,3.2,10.4,11.9,14.8,14.7,12.7,9.0,4.6,4.1,-3.0,5.1,13.8,8.8,6.17
1930,3.7,-0.3,2.5,7.1,10.3,15.4,15.9,15.2,12.1,8.8,5.6,2.6,2.5,6.6,15.5,8.8,8.37
1931,1.1,-0.3,-1.7,5.0,12.0,12.5,15.3,14.8,10.9,7.6,5.3,1.8,1.1,5.1,14.2,7.9,7.09
1932,4.3,0.6,0.1,5.9,11.2,13.9,17.8,16.1,12.5,7.2,5.0,3.2,2.2,5.7,15.9,8.2,8.03
1933,-0.3,0.4,3.2,6.2,11.3,16.0,17.3,15.8,12.4,8.6,3.5,0.2,1.1,6.9,16.4,8.2,8.13
1934,2.5,3.6,3.4,7.1,10.6,14.0,16.3,15.4,14.0,10.0,5.7,5.3,2.1,7.0,15.2,9.9,8.57
1935,1.0,2.3,2.0,6.3,10.0,15.0,15.5,15.1,12.8,8.6,5.7,1.1,2.9,6.1,15.2,9.0,8.30
1936,2.9,-0.7,2.3,4.3,11.7,15.5,16.1,15.3,11.7,7.4,5.0,4.0,1.1,6.1,15.6,8.0,7.72
1937,-0.2,0.7,1.2,7.1,12.2,14.1,16.7,17.1,12.9,10.0,3.2,0.2,1.5,6.8,16.0,8.7,8.25
1938,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.90
1939,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.90
1940,-4.5,-6.5,0.4,4.6,12.0,15.4,15.7,14.1,11.1,7.2,5.3,0.5,-5.0,5.7,15.1,7.9,5.90
1941,-6.8,-3.5,0.6,4.2,9.7,14.5,18.5,14.5,12.2,7.7,2.4,3.2,-3.3,4.8,15.8,7.4,6.21
1942,-7.3,-5.8,-2.6,5.8,10.3,12.3,14.6,16.1,12.9,10.2,5.4,3.8,-3.3,4.5,14.3,9.5,6.26
1943,-0.6,4.5,4.2,7.8,12.0,14.4,15.8,15.1,13.1,9.1,4.4,1.9,2.6,8.0,15.1,8.9,8.63
1944,3.9,1.0,2.0,6.4,9.1,12.7,16.4,17.9,12.0,8.7,4.7,2.3,2.3,5.8,15.7,8.5,8.06
1945,-1.1,2.8,5.4,7.0,11.2,14.2,16.7,16.5,12.6,10.8,5.4,2.6,1.3,7.9,15.8,9.6,8.65
1946,0.2,1.1,1.2,7.8,12.1,13.0,16.7,15.0,13.5,6.0,4.9,0.3,1.3,7.0,14.9,8.1,7.84
1947,-3.1,-7.3,-1.8,5.1,14.1,15.6,16.4,17.6,14.7,7.9,4.5,2.6,-3.4,5.8,16.5,9.0,7.00
1948,0.6,0.1,4.1,8.7,11.4,14.1,16.1,15.4,13.3,8.6,5.4,3.3,1.1,8.1,15.2,9.1,8.37
1949,3.1,3.9,1.5,7.7,10.8,13.7,16.0,15.0,15.7,10.6,5.4,4.2,3.4,6.7,14.9,10.6,8.89
1950,0.3,2.1,4.4,6.5,12.7,15.0,16.0,17.2,12.8,8.3,4.2,-0.6,2.2,7.9,16.1,8.4,8.64
1951,0.8,0.9,0.6,6.0,10.9,14.4,15.2,16.0,13.7,7.0,7.0,5.3,0.4,5.8,15.2,9.2,7.66
1952,0.7,1.5,0.7,8.6,11.7,12.5,15.5,15.6,10.3,6.6,1.5,1.1,2.5,7.0,14.5,6.1,7.54
1953,1.5,-0.5,3.4,6.5,11.6,16.8,16.1,15.9,12.2,10.4,7.2,3.2,0.7,7.2,16.3,9.9,8.52
1954,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.90
1955,-0.7,-4.3,-1.0,5.3,8.9,13.1,18.4,18.3,13.9,8.4,5.4,1.7,-2.0,4.4,16.6,9.2,7.06
1956,0.1,-6.6,1.6,4.8,12.1,13.2,16.9,13.5,12.8,7.9,3.5,3.5,-1.6,6.2,14.5,8.1,6.79
1957,2.5,2.2,3.8,6.4,9.9,15.0,16.5,15.2,10.6,9.2,4.5,1.9,2.7,6.7,15.6,8.1,8.28
1958,-0.5,-0.9,-1.0,3.8,9.4,13.8,16.0,15.2,13.7,10.0,5.3,2.6,0.2,4.1,15.0,9.7,7.22
1959,0.4,0.9,4.1,8.0,11.7,14.7,17.2,16.9,12.3,8.2,4.8,3.0,1.3,7.9,16.3,8.4,8.48
1960,999.9,999.9,999.9,999.9,11.7,14.8,14.8,15.9,13.3,8.0,5.3,3.0,999.9,999.9,15.2,8.9,999.90
1961,0.0,3.8,5.2,8.5,10.6,14.7,14.3,14.5,14.7,10.5,3.6,-0.2,2.3,8.1,14.5,9.6,8.62
1962,2.3,1.6,-0.3,6.7,8.9,12.8,13.3,14.1,12.0,9.5,4.9,999.9,1.2,5.1,13.4,8.8,7.13
1963,999.9,999.9,999.9,999.9,999.9,999.9,999.9,15.5,12.3,9.4,7.3,-0.5,999.9,999.9,999.9,9.7,999.90
1964,1.3,1.1,-0.2,7.9,11.9,13.7,14.6,14.7,12.3,6.6,5.5,1.7,0.6,6.5,14.3,8.1,7.41
1965,1.8,0.3,1.0,5.8,9.4,13.7,13.7,14.3,13.3,9.3,1.1,0.9,1.3,5.4,13.9,7.9,7.12
1966,-2.2,-1.2,2.8,3.6,11.4,15.7,15.4,14.6,13.0,9.0,3.7,1.8,-0.8,5.9,15.2,8.6,7.22
1967,0.9,2.9,5.2,5.9,11.0,13.6,16.8,16.0,13.6,10.9,5.8,2.1,1.9,7.4,15.5,10.1,8.70
1968,-0.6,-0.6,3.8,7.6,9.9,15.7,15.2,16.6,13.5,9.6,5.0,-0.6,0.3,7.1,15.8,9.4,8.15
1969,1.0,-2.7,-0.3,5.7,9.5,14.9,16.6,17.4,14.0,10.8,4.4,-2.3,-0.8,5.0,16.3,9.7,7.56

